Entry,Index,NAME,ano(ANO1)
search2|FUVCIL|453,454,FUVCIL,29.0
search2|FUVCIL|454,455,FUVCIL,25.0
search2|GABPIL|455,456,GABPIL,28.0
search2|GABPIL|456,457,GABPIL,28.0
search2|GABPIL|457,458,GABPIL,28.0
search2|GABPIL|458,459,GABPIL,28.0
search2|GACNUT|459,460,GACNUT,29.0
search2|GADRAE|460,461,GADRAE,29.0
search2|GADWOX|461,462,GADWOX,29.0
search2|GADXOY|462,463,GADXOY,29.0
search2|GADXOY|463,464,GADXOY,29.0
search2|GAGYUL|464,465,GAGYUL,27.0
search2|GAGYUL|465,466,GAGYUL,27.0
search2|GAGZAS|466,467,GAGZAS,27.0
search2|GAGZAS|467,468,GAGZAS,27.0
search2|GALRIV|468,469,GALRIV,29.0
search2|GALROB|469,470,GALROB,29.0
search2|GALROB01|470,471,GALROB01,29.0
search2|GALVAQ|471,472,GALVAQ,29.0
search2|GARWIH|472,473,GARWIH,30.0
search2|GARWIH|473,474,GARWIH,30.0
search2|GEPDOU|474,475,GEPDOU,25.0
search2|GETYOT|475,476,GETYOT,29.0
search2|GICPOA|476,477,GICPOA,30.0
search2|GIGREW|477,478,GIGREW,29.0
search2|GIGREW|478,479,GIGREW,29.0
search2|GIKKOA|479,480,GIKKOA,25.0
search2|GIKKOA|480,481,GIKKOA,25.0
search2|GIKKOA01|481,482,GIKKOA01,25.0
search2|GIKKOA01|482,483,GIKKOA01,25.0
search2|GIKXUX|483,484,GIKXUX,29.0
search2|GIKXUX|484,485,GIKXUX,29.0
search2|GIKYAE|485,486,GIKYAE,29.0
search2|GIKYAE|486,487,GIKYAE,29.0
search2|GIMBUC|487,488,GIMBUC,28.0
search2|GIMBUC|488,489,GIMBUC,28.0
search2|GIMCAJ|489,490,GIMCAJ,28.0
search2|GIMCAJ|490,491,GIMCAJ,28.0
search2|GIQYOY|491,492,GIQYOY,30.0
search2|GIQYUE|492,493,GIQYUE,30.0
search2|GIQZAL|493,494,GIQZAL,30.0
search2|GIQZAL|494,495,GIQZAL,30.0
search2|GIQZEP|495,496,GIQZEP,30.0
search2|GIQZOZ|496,497,GIQZOZ,30.0
search2|GIQZUF|497,498,GIQZUF,30.0
search2|GIRKOH|498,499,GIRKOH,25.0
search2|GIRKOH|499,500,GIRKOH,25.0
search2|GIRKOH|500,501,GIRKOH,25.0
search2|GIRKOH|501,502,GIRKOH,25.0
search2|GIRKOH|502,503,GIRKOH,25.0
search2|GIRKOH|503,504,GIRKOH,25.0
search2|GIRPIG|504,505,GIRPIG,30.0
search2|GIRPIG|505,506,GIRPIG,30.0
search2|GIRQAZ|506,507,GIRQAZ,29.0
search2|GIRQAZ|507,508,GIRQAZ,29.0
search2|GISMAX|508,509,GISMAX,29.0
search2|GISMAX|509,510,GISMAX,29.0
search2|GIWYEQ|510,511,GIWYEQ,28.0
search2|GIWYEQ|511,512,GIWYEQ,29.0
search2|GOMHIB|512,513,GOMHIB,29.0
search2|GOMHOH|513,514,GOMHOH,30.0
search2|GONYIR|514,515,GONYIR,28.0
search2|GONYOX|515,516,GONYOX,27.0
search2|GONYUD|516,517,GONYUD,29.0
search2|GOWDUR|517,518,GOWDUR,27.0
search2|GOWFAZ|518,519,GOWFAZ,27.0
search2|GUCKOF|519,520,GUCKOF,29.0
search2|GUCLAS|520,521,GUCLAS,29.0
search2|GUNRAI|521,522,GUNRAI,29.0
search2|GUNRAI|522,523,GUNRAI,29.0
search2|GUNRAI|523,524,GUNRAI,29.0
search2|GUNRAI|524,525,GUNRAI,29.0
search2|GUNREM|525,526,GUNREM,29.0
search2|GUNREM|526,527,GUNREM,29.0
search2|GUQSIV|527,528,GUQSIV,29.0
search2|GUQSOB|528,529,GUQSOB,29.0
search2|HAGKUY|529,530,HAGKUY,29.0
search2|HAGLAF|530,531,HAGLAF,29.0
search2|HAGLEJ|531,532,HAGLEJ,29.0
search2|HAGLEJ|532,533,HAGLEJ,29.0
search2|HAGLEJ|533,534,HAGLEJ,29.0
search2|HAGLEJ|534,535,HAGLEJ,29.0
search2|HAKPER|535,536,HAKPER,28.0
search2|HALCIJ|536,537,HALCIJ,28.0
search2|HALCOP|537,538,HALCOP,28.0
search2|HALCUV|538,539,HALCUV,28.0
search2|HALCUV|539,540,HALCUV,28.0
search2|HAYBES|540,541,HAYBES,29.0
search2|HEHDEF|541,542,HEHDEF,29.0
search2|HEHDEF|542,543,HEHDEF,29.0
search2|HEHDIJ|543,544,HEHDIJ,29.0
